Year,ID,days.to.hatch,Avg.incu.temp,hdate,hatch_DATE_noYear
2007,763,29,3.797516664,114,24-Apr
2007,764,29,3.784728598,111,21-Apr
2007,765,28,3.834477377,120,30-Apr
2007,766,28,3.938039504,91,1-Apr
2007,767,29,3.776203905,106,16-Apr
2007,768,29,3.777268933,105,15-Apr
2007,769,28,3.873096924,94,4-Apr
2009,77,24,4.510599236,107,17-Apr
2007,770,29,3.794431945,101,11-Apr
2007,771,28,3.873096924,94,4-Apr
2007,772,29,3.783045366,103,13-Apr
2007,773,29,3.777153906,108,18-Apr
2007,774,29,3.777153906,108,18-Apr
2007,775,29,3.794431945,101,11-Apr
2010,776,20,5.357456045,89,30-Mar
2010,777,20,5.357456045,89,30-Mar
2010,778,20,5.358745189,87,28-Mar
2010,779,20,5.360184641,93,3-Apr
2010,780,20,5.360184641,93,3-Apr
2010,781,20,5.372940932,98,8-Apr
2010,782,20,5.366640383,96,6-Apr
2010,783,20,5.372940932,98,8-Apr
2010,784,20,5.390094632,102,12-Apr
2010,785,20,5.360184641,93,3-Apr
2010,786,20,5.372940932,98,8-Apr
2010,787,20,5.360184641,93,3-Apr
2010,788,20,5.390094632,102,12-Apr
2010,789,20,5.482735615,115,25-Apr
2010,790,20,5.426406805,108,18-Apr
2010,791,20,5.357456045,89,30-Mar
2010,792,20,5.400841355,104,14-Apr
2010,793,20,5.372940932,98,8-Apr
2010,794,20,5.372940932,98,8-Apr
2010,795,20,5.390094632,102,12-Apr
2010,796,20,5.380776753,100,10-Apr
2010,797,20,5.400841355,104,14-Apr
2010,798,20,5.400841355,104,14-Apr
2010,799,20,5.412963707,106,16-Apr
2010,800,20,5.394470538,77,18-Mar
2010,801,20,5.372940932,98,8-Apr
2010,802,20,5.400841355,104,14-Apr
2010,803,20,5.441103908,110,20-Apr
2010,804,20,5.482735615,115,25-Apr
2010,805,20,5.426406805,108,18-Apr
2010,806,20,5.520080194,119,29-Apr
2010,807,20,5.380776753,100,10-Apr
2010,808,20,5.441103908,110,20-Apr
2010,809,20,5.372940932,98,8-Apr
2010,810,20,5.360184641,93,3-Apr
2010,811,20,5.372940932,98,8-Apr
2010,812,20,5.372940932,98,8-Apr
2010,813,20,5.372940932,98,8-Apr
2010,814,20,5.358745189,87,28-Mar
2010,815,20,5.426406805,108,18-Apr
2010,816,20,5.361889663,85,26-Mar
2010,817,20,5.360184641,93,3-Apr
2010,818,20,5.419523929,107,17-Apr
2010,819,20,5.364082465,95,5-Apr
2010,820,20,5.3578729,88,29-Mar
2010,821,19,5.605162623,127,7-May
2010,822,20,5.473904942,114,24-Apr
2010,823,19,5.605162623,131,11-May
2010,824,19,5.605162623,131,11-May
2010,825,19,5.584956889,125,5-May
2010,826,19,5.554557571,122,2-May
2010,827,20,5.491786804,116,26-Apr
2010,828,20,5.406733903,105,15-Apr
2010,829,20,5.426406805,108,18-Apr
2010,830,20,5.357456045,89,30-Mar
2010,831,20,5.364179247,84,25-Mar
2010,832,20,5.441103908,110,20-Apr
2010,833,20,5.3578729,88,29-Mar
2010,834,20,5.361889663,85,26-Mar
2010,835,20,5.372940932,98,8-Apr
2010,836,20,5.390094632,102,12-Apr
2010,837,20,5.390094632,102,12-Apr
2010,838,20,5.501040738,117,27-Apr
2010,839,20,5.510478533,118,28-Apr
2010,840,20,5.374026829,81,22-Mar
2010,841,20,5.412963707,106,16-Apr
2010,842,20,5.366640383,96,6-Apr
2010,843,20,5.441103908,110,20-Apr
2010,844,20,5.385253762,101,11-Apr
2010,845,20,5.412963707,106,16-Apr
2010,846,20,5.412963707,106,16-Apr
2010,847,20,5.406733903,105,15-Apr
2010,848,20,5.482735615,115,25-Apr
2010,849,20,5.400841355,104,14-Apr
2010,850,20,5.482735615,115,25-Apr
2010,851,20,5.465311444,113,23-Apr
2010,852,20,5.419523929,107,17-Apr
2010,853,20,5.465311444,113,23-Apr
2010,854,20,5.433603461,109,19-Apr
2010,855,19,5.564664993,123,3-May
2010,856,20,5.426406805,108,18-Apr
2010,857,20,5.426406805,108,18-Apr
2010,858,20,5.465311444,113,23-Apr
2010,859,20,5.482735615,115,25-Apr
2010,860,20,5.465311444,113,23-Apr
2010,861,19,5.605162623,129,9-May
2010,862,19,5.605162623,132,12-May
2010,863,19,5.605162623,132,12-May
2010,864,20,5.357956491,91,1-Apr
2010,865,20,5.366959061,83,24-Mar
2010,866,20,5.412963707,106,16-Apr
2010,867,20,5.482735615,115,25-Apr
2010,868,20,5.380776753,100,10-Apr
2010,869,20,5.385253762,101,11-Apr
2010,870,20,5.441103908,110,20-Apr
2010,871,20,5.395292714,103,13-Apr
2010,872,20,5.400841355,104,14-Apr
2010,873,20,5.491786804,116,26-Apr
2010,874,20,5.366640383,96,6-Apr
2010,875,20,5.360184641,93,3-Apr
2010,876,20,5.400955897,76,17-Mar
2010,877,20,5.360184641,93,3-Apr
2010,878,20,5.360184641,93,3-Apr
2010,879,20,5.366959061,83,24-Mar
2012,958,24,4.521874279,85,26-Mar
2012,959,24,4.446195087,95,5-Apr
2012,960,24,4.452521774,94,4-Apr
2012,971,24,4.49642307,88,29-Mar
2012,972,24,4.480701787,90,31-Mar
2012,973,24,4.434444191,97,7-Apr
2012,974,24,4.446195087,95,5-Apr
2012,975,25,4.399389595,106,16-Apr
2012,976,24,4.446195087,95,5-Apr
2012,977,24,4.459141945,93,3-Apr
2012,978,23,4.624976563,74,15-Mar
2012,979,24,4.504665764,87,28-Mar
2012,980,23,4.646509353,72,13-Mar
2012,981,25,4.413245089,102,12-Apr
2012,982,25,4.413245089,102,12-Apr
2012,983,24,4.49642307,88,29-Mar
2012,984,24,4.429030071,98,8-Apr
2012,985,24,4.42392961,99,9-Apr
2012,986,24,4.521874279,85,26-Mar
2012,987,24,4.459141945,93,3-Apr
2012,988,24,4.504665764,87,28-Mar
2012,989,24,4.49642307,88,29-Mar
2012,990,25,4.41753634,101,11-Apr
2012,991,24,4.530822595,84,25-Mar
2012,992,24,4.459141945,93,3-Apr
2012,993,24,4.446195087,95,5-Apr
2012,994,25,4.39257669,109,19-Apr
2012,995,24,4.473238479,91,1-Apr
2012,996,24,4.466049627,92,2-Apr
2012,997,24,4.504665764,87,28-Mar
2012,998,24,4.434444191,97,7-Apr
2012,999,24,4.440167482,96,6-Apr
